scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
upspa formula auth 0 40 8 2000 300 254222 271940 284799 328571 272284.942 7979.900
upspa prim TOPRF_client_eval 0 40 8 2000 300 288857 302403 324949 396829 305549.870 10076.684
upspa prim AEAD_DEC_cipherid 0 40 8 2000 300 1412 1430 1443 1477 1430.996 6.629
upspa prim AEAD_DEC_ciphersp 0 40 8 2000 300 1317 1361 1407 2842 1367.612 68.910
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 8 2000 300 1310 1447 1462 6640 1420.760 141.239
upspa prim HASH_suid 0 40 8 2000 300 89 92 107 115 93.221 4.910
upspa prim HASH_vinfo 0 40 8 2000 300 82 85 87 111 85.638 3.960
tspa proto reg 0 40 8 2000 300 1163548 1218819 1275145 1362430 1227646.621 25177.533
tspa proto auth 0 40 8 2000 300 235275 251254 260898 297820 250818.953 6537.691
tspa prim HASH_storuid 0 40 8 2000 300 79 83 85 104 83.269 3.363
tspa prim HASH_vinfo 0 40 8 2000 300 78 82 84 104 82.218 3.229
tspa prim OPRF_finalize 0 40 8 2000 300 3668 3755 4078 21216 3834.419 452.011
tspa prim OPRF_eval_full 0 40 8 2000 300 31921 32698 34823 67433 32856.952 1967.997
tspa prim MulP_point_scalar 0 40 8 2000 300 28147 28885 30377 55880 29053.149 1580.035
tspa prim InvS_scalar_invert 0 40 8 2000 300 10296 10355 11320 35653 10480.454 863.806
tspa prim FieldOp_mul_add 0 40 8 2000 300 108 113 115 132 113.016 1.481
tspa prim AES256CTR_xor_32 0 40 8 2000 300 103 115 116 121 114.587 2.120
tspa prim PolyEval_degree_t_minus_1 0 40 8 2000 300 775 791 798 812 790.923 4.832
upspa proto reg 0 40 16 2000 300 421723 451270 479434 556632 453617.937 13807.769
upspa proto auth 0 40 16 2000 300 424465 453530 481694 753224 456343.665 15216.258
upspa proto secupd 0 40 16 2000 300 444780 475747 497829 575995 477108.780 11535.525
upspa proto pwdupd 0 40 16 2000 300 1159740 1226541 1304823 1512710 1236889.950 33905.359
upspa formula auth 0 40 16 2000 300 424201 454048 484897 858143 462434.264 32032.062
upspa prim TOPRF_client_eval 0 40 16 2000 300 514529 538287 570272 706021 542887.895 15245.725
upspa prim AEAD_DEC_cipherid 0 40 16 2000 300 1380 1530 1545 5376 1515.574 134.472
upspa prim AEAD_DEC_ciphersp 0 40 16 2000 300 1316 1350 1476 18376 1371.733 384.755
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 16 2000 300 1307 1326 1444 2856 1341.072 103.112
upspa prim HASH_suid 0 40 16 2000 300 80 84 98 105 85.112 4.192
upspa prim HASH_vinfo 0 40 16 2000 300 75 78 80 111 78.766 3.417
tspa proto reg 0 40 16 2000 300 1195416 1252656 1309975 1971843 1262585.178 41006.648
tspa proto auth 0 40 16 2000 300 438510 468854 491702 838753 472147.326 26242.880
tspa prim HASH_storuid 0 40 16 2000 300 79 82 95 108 82.700 3.714
tspa prim HASH_vinfo 0 40 16 2000 300 79 82 84 104 82.025 3.142
tspa prim OPRF_finalize 0 40 16 2000 300 3664 3800 4076 21284 3877.579 537.824
tspa prim OPRF_eval_full 0 40 16 2000 300 31247 32749 35399 60880 33248.849 2177.310
tspa prim MulP_point_scalar 0 40 16 2000 300 27583 28882 30932 50101 29092.614 1430.825
tspa prim InvS_scalar_invert 0 40 16 2000 300 10291 10354 11320 27812 10491.681 680.632
tspa prim FieldOp_mul_add 0 40 16 2000 300 119 124 126 148 124.016 1.600
tspa prim AES256CTR_xor_32 0 40 16 2000 300 114 126 127 129 125.236 2.508
tspa prim PolyEval_degree_t_minus_1 0 40 16 2000 300 1555 1578 1735 8574 1638.601 291.092
upspa proto reg 0 40 24 2000 300 594102 635798 664589 1122634 639358.522 22136.154
upspa proto auth 0 40 24 2000 300 594915 636471 664499 783956 638622.615 14592.210
upspa proto secupd 0 40 24 2000 300 628638 672310 697845 867055 673747.488 14800.392
upspa proto pwdupd 0 40 24 2000 300 1396135 1479263 1538463 1817969 1486905.813 30442.326
upspa formula auth 0 40 24 2000 300 595395 636340 663949 765538 638776.949 13322.089
upspa prim TOPRF_client_eval 0 40 24 2000 300 740080 774351 841659 1183557 787286.370 38741.550
upspa prim AEAD_DEC_cipherid 0 40 24 2000 300 1412 1463 1548 18390 1496.999 398.351
upspa prim AEAD_DEC_ciphersp 0 40 24 2000 300 1317 1346 1457 8130 1360.668 175.330
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 24 2000 300 1307 1326 1340 2595 1326.832 29.182
upspa prim HASH_suid 0 40 24 2000 300 80 83 97 102 84.222 3.620
upspa prim HASH_vinfo 0 40 24 2000 300 74 78 80 101 78.341 3.108
tspa proto reg 0 40 24 2000 300 1226454 1292499 1389869 2201116 1309795.320 66736.138
tspa proto auth 0 40 24 2000 300 641631 686001 715016 895827 686645.545 18678.399
tspa prim HASH_storuid 0 40 24 2000 300 82 85 98 108 85.439 3.956
tspa prim HASH_vinfo 0 40 24 2000 300 80 83 86 106 83.981 3.079
tspa prim OPRF_finalize 0 40 24 2000 300 3666 3728 4059 21379 3788.472 435.821
tspa prim OPRF_eval_full 0 40 24 2000 300 31917 32732 34387 53460 32833.704 1420.773
tspa prim MulP_point_scalar 0 40 24 2000 300 27548 28886 30341 50772 29086.582 1310.346
tspa prim InvS_scalar_invert 0 40 24 2000 300 10301 10360 11339 28515 10542.096 715.148
tspa prim FieldOp_mul_add 0 40 24 2000 300 107 112 115 135 112.430 1.732
tspa prim AES256CTR_xor_32 0 40 24 2000 300 103 106 108 120 106.417 1.633
tspa prim PolyEval_degree_t_minus_1 0 40 24 2000 300 2318 2350 2566 19760 2409.151 463.269
upspa proto reg 0 40 32 2000 300 766485 820552 851033 991829 824133.641 14698.821
upspa proto auth 0 40 32 2000 300 767362 821012 856957 1029449 824993.635 18797.463
upspa proto secupd 0 40 32 2000 300 812375 868975 908741 1309933 873219.409 26642.126
upspa proto pwdupd 0 40 32 2000 300 1635290 1731222 1821857 2342948 1743344.221 45368.686
upspa formula auth 0 40 32 2000 300 767095 821256 855475 1079778 826149.461 18722.844
upspa prim TOPRF_client_eval 0 40 32 2000 300 965307 1010741 1062844 1447359 1020061.485 26623.262
upspa prim AEAD_DEC_cipherid 0 40 32 2000 300 1409 1461 1529 2906 1465.562 48.101
upspa prim AEAD_DEC_ciphersp 0 40 32 2000 300 1317 1367 1406 2718 1369.626 50.485
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 32 2000 300 1306 1327 1460 18200 1383.198 527.066
upspa prim HASH_suid 0 40 32 2000 300 81 84 98 112 84.973 3.952
upspa prim HASH_vinfo 0 40 32 2000 300 74 78 80 101 78.532 2.932
tspa proto reg 0 40 32 2000 300 1256337 1323768 1395835 2061664 1335510.769 48486.146
tspa proto auth 0 40 32 2000 300 845351 903125 937030 1446889 903476.054 22856.182
tspa prim HASH_storuid 0 40 32 2000 300 79 82 85 115 82.975 3.085
tspa prim HASH_vinfo 0 40 32 2000 300 79 82 84 116 82.550 3.274
tspa prim OPRF_finalize 0 40 32 2000 300 3675 3731 4051 26245 3801.563 561.985
tspa prim OPRF_eval_full 0 40 32 2000 300 31911 32744 34360 58184 32814.669 1596.558
tspa prim MulP_point_scalar 0 40 32 2000 300 28146 29196 31703 59283 29650.315 1866.952
tspa prim InvS_scalar_invert 0 40 32 2000 300 10298 10354 11302 35849 10466.489 898.336
tspa prim FieldOp_mul_add 0 40 32 2000 300 108 113 115 131 112.857 1.677
tspa prim AES256CTR_xor_32 0 40 32 2000 300 103 106 108 129 106.424 1.824
tspa prim PolyEval_degree_t_minus_1 0 40 32 2000 300 3093 3133 3409 7943 3162.981 190.785
upspa proto reg 0 40 40 2000 300 939431 1005289 1040650 1687868 1009220.671 23083.285
upspa proto auth 0 40 40 2000 300 938584 1004349 1046757 1587438 1010367.753 29375.844
upspa proto secupd 0 40 40 2000 300 996790 1065035 1098303 1131467 1066144.914 17674.290
upspa proto pwdupd 0 40 40 2000 300 1874511 1984991 2074781 3469496 2000295.309 86744.672
upspa formula auth 0 40 40 2000 300 938265 1004323 1042260 1297571 1008709.797 21747.923
upspa prim TOPRF_client_eval 0 40 40 2000 300 1191071 1251249 1308470 1444030 1258760.725 25589.854
upspa prim AEAD_DEC_cipherid 0 40 40 2000 300 1412 1450 1531 18298 1477.812 426.948
upspa prim AEAD_DEC_ciphersp 0 40 40 2000 300 1316 1352 1480 10531 1379.966 251.186
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 40 2000 300 1309 1327 1346 4247 1334.344 81.670
