scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
tspa prim InvS_scalar_invert 0 40 40 2000 300 6635 6675 6935 45880 6808.166 955.237
tspa prim FieldOp_mul_add 0 40 40 2000 300 72 75 77 92 75.204 0.973
tspa prim AES256CTR_xor_32 0 40 40 2000 300 78 81 83 99 80.800 1.797
tspa prim PolyEval_degree_t_minus_1 0 40 40 2000 300 2380 2402 2580 7023 2435.004 204.921
upspa proto reg 0 60 12 2000 300 244890 263566 285439 1133907 266416.506 29948.141
upspa proto auth 0 60 12 2000 300 253988 269261 289145 1127237 273235.439 30608.645
upspa proto secupd 0 60 12 2000 300 256210 277166 293267 1094116 280835.785 31080.701
upspa proto pwdupd 0 60 12 2000 300 877068 954135 1010841 2630476 960251.468 61054.814
upspa formula auth 0 60 12 2000 300 248605 267070 281578 1041507 269085.904 36565.259
upspa prim TOPRF_client_eval 0 60 12 2000 300 228735 244412 256048 1137183 246427.957 29634.859
upspa prim AEAD_DEC_cipherid 0 60 12 2000 300 1046 1091 1116 8131 1091.382 222.231
upspa prim AEAD_DEC_ciphersp 0 60 12 2000 300 966 1007 1230 96185 1121.632 2230.868
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 12 2000 300 941 964 972 37700 1038.257 1022.719
upspa prim HASH_suid 0 60 12 2000 300 72 74 75 112 74.055 1.510
upspa prim HASH_vinfo 0 60 12 2000 300 66 69 70 104 69.020 1.954
tspa proto reg 0 60 12 2000 300 1135287 1221853 1264894 2804653 1223188.495 76698.291
tspa proto auth 0 60 12 2000 300 240515 259025 270743 657484 261109.240 14618.515
tspa prim HASH_storuid 0 60 12 2000 300 71 73 75 106 73.389 1.637
tspa prim HASH_vinfo 0 60 12 2000 300 70 73 74 92 72.815 1.738
tspa prim OPRF_finalize 0 60 12 2000 300 2359 2520 2741 151039 2873.814 4171.854
tspa prim OPRF_eval_full 0 60 12 2000 300 21199 21838 22756 63779 22060.202 2282.328
tspa prim MulP_point_scalar 0 60 12 2000 300 18903 19316 19552 73928 19444.479 1527.946
tspa prim InvS_scalar_invert 0 60 12 2000 300 6646 6684 6935 54067 6800.268 1106.498
tspa prim FieldOp_mul_add 0 60 12 2000 300 72 75 76 93 75.058 1.034
tspa prim AES256CTR_xor_32 0 60 12 2000 300 78 81 83 98 80.960 1.656
tspa prim PolyEval_degree_t_minus_1 0 60 12 2000 300 721 734 739 5057 736.039 96.734
upspa proto reg 0 60 24 2000 300 433944 467545 504802 1666539 471955.252 45365.565
upspa proto auth 0 60 24 2000 300 447707 481384 522602 1741259 489143.935 58710.216
upspa proto secupd 0 60 24 2000 300 456927 491785 546721 1852552 503244.138 74995.609
upspa proto pwdupd 0 60 24 2000 300 1144499 1238818 1489876 3786016 1271464.755 140970.014
upspa formula auth 0 60 24 2000 300 436721 470240 544470 1402162 480557.547 59960.566
