scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
tspa proto reg 0 40 8 2000 300 1049661 1121407 1157524 1862011 1126592.951 53415.688
tspa proto auth 0 40 8 2000 300 248713 265822 274453 366153 265033.367 6468.371
tspa prim HASH_storuid 0 40 8 2000 300 83 85 101 113 86.126 4.345
tspa prim HASH_vinfo 0 40 8 2000 300 82 84 87 109 85.269 3.910
tspa prim OPRF_finalize 0 40 8 2000 300 3663 4037 4096 17070 3936.392 377.655
tspa prim OPRF_eval_full 0 40 8 2000 300 25740 26950 28030 34808 26924.929 817.367
tspa prim MulP_point_scalar 0 40 8 2000 300 22912 23035 24430 30405 23324.564 684.071
tspa prim InvS_scalar_invert 0 40 8 2000 300 10205 10292 11252 14611 10684.537 514.571
tspa prim FieldOp_mul_add 0 40 8 2000 300 107 112 114 133 111.905 1.417
tspa prim AES256CTR_xor_32 0 40 8 2000 300 106 115 115 116 114.502 0.631
tspa prim PolyEval_degree_t_minus_1 0 40 8 2000 300 775 792 861 2262 804.205 62.268
upspa proto reg 0 40 16 2000 300 420844 450886 486039 852902 457089.562 29521.896
upspa proto auth 0 40 16 2000 300 424865 454304 474700 850889 458649.466 33036.382
upspa proto secupd 0 40 16 2000 300 445399 480387 515855 827551 491837.791 45685.680
upspa proto pwdupd 0 40 16 2000 300 1147611 1203625 1258274 2149522 1217425.688 59627.419
upspa formula auth 0 40 16 2000 300 423481 452455 463260 739905 452503.188 15968.314
upspa prim TOPRF_client_eval 0 40 16 2000 300 407680 435591 446066 525606 435374.024 7842.764
upspa prim AEAD_DEC_cipherid 0 40 16 2000 300 1509 1534 1557 3382 1546.746 106.786
upspa prim AEAD_DEC_ciphersp 0 40 16 2000 300 1439 1466 1498 4646 1472.440 76.372
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 16 2000 300 1305 1444 1485 3153 1415.310 96.230
upspa prim HASH_suid 0 40 16 2000 300 81 84 98 106 85.329 3.952
upspa prim HASH_vinfo 0 40 16 2000 300 74 77 79 109 78.012 3.236
tspa proto reg 0 40 16 2000 300 1080446 1154179 1183152 1331482 1151663.698 18282.622
tspa proto auth 0 40 16 2000 300 464458 495345 508054 600908 493402.135 9442.878
tspa prim HASH_storuid 0 40 16 2000 300 83 86 88 111 86.156 3.472
tspa prim HASH_vinfo 0 40 16 2000 300 81 84 86 111 84.814 3.769
tspa prim OPRF_finalize 0 40 16 2000 300 3660 3715 4067 8881 3827.805 219.479
tspa prim OPRF_eval_full 0 40 16 2000 300 25248 26909 27065 33957 26733.532 595.639
tspa prim MulP_point_scalar 0 40 16 2000 300 22389 23017 23590 42069 23153.776 793.036
tspa prim InvS_scalar_invert 0 40 16 2000 300 10193 10265 11240 14242 10415.244 402.285
tspa prim FieldOp_mul_add 0 40 16 2000 300 109 122 126 1202 120.720 36.484
tspa prim AES256CTR_xor_32 0 40 16 2000 300 102 113 114 122 112.743 0.784
tspa prim PolyEval_degree_t_minus_1 0 40 16 2000 300 1547 1571 1593 4635 1581.234 93.075
upspa proto reg 0 40 24 2000 300 592917 633929 667123 975541 638291.736 21909.393
upspa proto auth 0 40 24 2000 300 604235 637370 666750 1437703 642557.624 46060.278
upspa proto secupd 0 40 24 2000 300 629308 672646 710242 1091007 676639.327 25282.268
upspa proto pwdupd 0 40 24 2000 300 1377864 1483032 1610059 3335377 1499507.310 114548.307
upspa formula auth 0 40 24 2000 300 593927 635726 686008 1108180 644062.130 32960.774
upspa prim TOPRF_client_eval 0 40 24 2000 300 581926 621206 632088 845308 620053.390 9894.067
upspa prim AEAD_DEC_cipherid 0 40 24 2000 300 1442 1462 1478 2779 1463.779 39.437
upspa prim AEAD_DEC_ciphersp 0 40 24 2000 300 1315 1365 1397 2757 1365.633 37.266
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 24 2000 300 1303 1323 1336 2309 1323.457 23.269
upspa prim HASH_suid 0 40 24 2000 300 81 84 97 122 84.857 4.161
upspa prim HASH_vinfo 0 40 24 2000 300 75 77 79 99 77.864 3.312
tspa proto reg 0 40 24 2000 300 1111918 1188187 1235041 1964384 1194665.518 64572.482
tspa proto auth 0 40 24 2000 300 684148 724102 735317 924117 721441.861 10566.668
tspa prim HASH_storuid 0 40 24 2000 300 80 82 85 769 83.623 18.377
tspa prim HASH_vinfo 0 40 24 2000 300 78 81 82 105 81.108 3.300
tspa prim OPRF_finalize 0 40 24 2000 300 3672 3743 4074 5447 3795.758 184.963
tspa prim OPRF_eval_full 0 40 24 2000 300 26282 26949 27640 33412 26849.726 630.979
tspa prim MulP_point_scalar 0 40 24 2000 300 22437 22993 23062 26065 23012.019 241.381
tspa prim InvS_scalar_invert 0 40 24 2000 300 10201 10265 11195 20023 10333.744 357.398
tspa prim FieldOp_mul_add 0 40 24 2000 300 108 113 115 135 112.627 1.654
tspa prim AES256CTR_xor_32 0 40 24 2000 300 101 114 115 117 113.781 0.945
tspa prim PolyEval_degree_t_minus_1 0 40 24 2000 300 2323 2347 2364 3573 2351.003 47.574
upspa proto reg 0 40 32 2000 300 764944 817532 846929 1425592 821246.559 32841.356
upspa proto auth 0 40 32 2000 300 786134 821962 832658 892043 819619.135 9360.100
upspa proto secupd 0 40 32 2000 300 814561 868903 889081 965014 865161.976 11477.854
upspa proto pwdupd 0 40 32 2000 300 1611022 1689388 1752462 2899530 1703111.026 77945.607
upspa formula auth 0 40 32 2000 300 766055 818400 837505 1162307 817320.853 18235.247
upspa prim TOPRF_client_eval 0 40 32 2000 300 755553 806907 817066 922557 805141.775 9177.231
upspa prim AEAD_DEC_cipherid 0 40 32 2000 300 1442 1467 1506 3033 1480.226 74.912
upspa prim AEAD_DEC_ciphersp 0 40 32 2000 300 1319 1372 1401 2763 1375.080 45.269
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 32 2000 300 1304 1328 1359 2816 1336.238 56.356
upspa prim HASH_suid 0 40 32 2000 300 82 84 97 113 85.098 3.384
upspa prim HASH_vinfo 0 40 32 2000 300 75 78 80 100 78.254 3.513
tspa proto reg 0 40 32 2000 300 1142774 1220425 1262430 2108497 1222031.295 45129.288
tspa proto auth 0 40 32 2000 300 895024 951905 979024 1114354 951699.588 18103.916
tspa prim HASH_storuid 0 40 32 2000 300 81 84 100 117 85.058 4.919
tspa prim HASH_vinfo 0 40 32 2000 300 78 81 96 107 82.213 4.500
tspa prim OPRF_finalize 0 40 32 2000 300 3676 3744 3947 5199 3779.974 101.397
tspa prim OPRF_eval_full 0 40 32 2000 300 26291 26936 27050 30938 26750.568 394.682
tspa prim MulP_point_scalar 0 40 32 2000 300 21925 22997 23573 26362 23029.721 450.820
tspa prim InvS_scalar_invert 0 40 32 2000 300 10194 10264 10485 14032 10304.388 185.275
tspa prim FieldOp_mul_add 0 40 32 2000 300 108 112 114 132 111.950 1.412
tspa prim AES256CTR_xor_32 0 40 32 2000 300 102 114 115 117 113.650 0.842
tspa prim PolyEval_degree_t_minus_1 0 40 32 2000 300 3093 3127 3147 4504 3128.746 41.103
upspa proto reg 0 40 40 2000 300 937133 1001415 1040325 1542871 1004401.137 27498.904
upspa proto auth 0 40 40 2000 300 962565 1005123 1016175 1160489 1001627.693 13509.824
upspa proto secupd 0 40 40 2000 300 997528 1065914 1140204 1835154 1078862.493 78029.753
upspa proto pwdupd 0 40 40 2000 300 1841496 1949601 2010151 3416123 1963005.055 100916.327
upspa formula auth 0 40 40 2000 300 936476 1000760 1023651 1509736 1000278.188 19574.552
upspa prim TOPRF_client_eval 0 40 40 2000 300 939503 992564 1003705 1084661 990687.646 9925.040
upspa prim AEAD_DEC_cipherid 0 40 40 2000 300 1444 1468 1505 2862 1476.830 54.093
upspa prim AEAD_DEC_ciphersp 0 40 40 2000 300 1347 1370 1400 1428 1372.679 14.190
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 40 40 2000 300 1305 1327 1361 2658 1333.392 43.600
upspa prim HASH_suid 0 40 40 2000 300 81 84 97 106 84.617 3.758
upspa prim HASH_vinfo 0 40 40 2000 300 75 78 80 112 78.792 3.567
tspa proto reg 0 40 40 2000 300 1173757 1254172 1288836 1781811 1253658.341 28277.148
tspa proto auth 0 40 40 2000 300 1110788 1185856 1198692 1352806 1180310.931 14617.460
tspa prim HASH_storuid 0 40 40 2000 300 81 84 86 108 84.738 4.054
tspa prim HASH_vinfo 0 40 40 2000 300 80 83 85 107 83.400 2.763
tspa prim OPRF_finalize 0 40 40 2000 300 3680 3749 3881 5445 3771.810 98.253
tspa prim OPRF_eval_full 0 40 40 2000 300 26287 26970 27054 33591 26852.247 405.646
tspa prim MulP_point_scalar 0 40 40 2000 300 22412 23005 23619 33312 23153.464 789.742
tspa prim InvS_scalar_invert 0 40 40 2000 300 10190 10282 11257 20137 10666.778 548.293
tspa prim FieldOp_mul_add 0 40 40 2000 300 108 113 115 137 112.767 1.725
tspa prim AES256CTR_xor_32 0 40 40 2000 300 101 103 114 1634 106.150 39.697
tspa prim PolyEval_degree_t_minus_1 0 40 40 2000 300 3864 3910 3944 19556 3935.296 391.681
upspa proto reg 0 60 12 2000 300 336618 360695 380301 529646 363537.968 15114.822
upspa proto auth 0 60 12 2000 300 343129 366756 387983 683796 372569.432 36402.755
upspa proto secupd 0 60 12 2000 300 355386 379637 388555 618638 378333.702 10444.816
upspa proto pwdupd 0 60 12 2000 300 1364201 1438584 1512322 2457019 1453342.416 80800.651
upspa formula auth 0 60 12 2000 300 342015 365485 373862 415432 364148.780 5519.150
upspa prim TOPRF_client_eval 0 60 12 2000 300 320705 342723 350975 611001 343317.139 18293.924
upspa prim AEAD_DEC_cipherid 0 60 12 2000 300 1419 1467 1503 2818 1475.521 54.769
upspa prim AEAD_DEC_ciphersp 0 60 12 2000 300 1318 1369 1401 2664 1371.211 41.577
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 12 2000 300 1305 1323 1336 2570 1323.572 28.953
upspa prim HASH_suid 0 60 12 2000 300 82 85 87 111 85.402 3.095
upspa prim HASH_vinfo 0 60 12 2000 300 75 78 80 106 78.704 3.896
tspa proto reg 0 60 12 2000 300 1598829 1709550 1769193 2311637 1717263.331 40801.654
tspa proto auth 0 60 12 2000 300 380615 389834 403567 636216 389343.132 10514.605
tspa prim HASH_storuid 0 60 12 2000 300 83 85 87 111 85.732 3.325
tspa prim HASH_vinfo 0 60 12 2000 300 82 84 86 111 84.865 3.594
tspa prim OPRF_finalize 0 60 12 2000 300 3748 3843 3975 5305 3853.670 92.192
tspa prim OPRF_eval_full 0 60 12 2000 300 26891 27596 27678 33299 27483.700 484.983
tspa prim MulP_point_scalar 0 60 12 2000 300 22908 23525 23598 31780 23552.863 458.402
tspa prim InvS_scalar_invert 0 60 12 2000 300 10203 10279 10721 12021 10380.658 181.871
tspa prim FieldOp_mul_add 0 60 12 2000 300 108 112 115 134 112.434 1.529
tspa prim AES256CTR_xor_32 0 60 12 2000 300 102 114 115 115 113.787 1.243
tspa prim PolyEval_degree_t_minus_1 0 60 12 2000 300 1155 1182 1201 2567 1184.806 32.865
upspa proto reg 0 60 24 2000 300 594869 635807 660996 1013005 637852.380 19146.698
upspa proto auth 0 60 24 2000 300 600107 640715 653425 954653 639372.863 13797.679
upspa proto secupd 0 60 24 2000 300 645269 674557 682951 786341 672092.666 8449.283
upspa proto pwdupd 0 60 24 2000 300 1753369 1843916 1893709 2556574 1849696.843 30670.429
upspa formula auth 0 60 24 2000 300 597992 638395 686925 804516 642557.209 18429.219
upspa prim TOPRF_client_eval 0 60 24 2000 300 584025 621232 628776 835945 619715.770 8122.423
upspa prim AEAD_DEC_cipherid 0 60 24 2000 300 1414 1463 1501 2856 1471.168 56.538
upspa prim AEAD_DEC_ciphersp 0 60 24 2000 300 1346 1370 1399 2674 1373.663 32.280
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 24 2000 300 1305 1343 1362 2661 1340.932 39.823
upspa prim HASH_suid 0 60 24 2000 300 80 83 98 105 84.617 4.462
upspa prim HASH_vinfo 0 60 24 2000 300 75 78 80 105 78.552 3.772
tspa proto reg 0 60 24 2000 300 1668204 1777672 1830708 2729839 1780784.775 50401.903
tspa proto auth 0 60 24 2000 300 679708 725990 739409 912263 723236.764 12497.579
tspa prim HASH_storuid 0 60 24 2000 300 83 85 87 110 86.024 3.414
tspa prim HASH_vinfo 0 60 24 2000 300 78 81 83 103 81.862 2.946
tspa prim OPRF_finalize 0 60 24 2000 300 3671 3734 3821 6655 3760.389 125.755
tspa prim OPRF_eval_full 0 60 24 2000 300 26290 26968 27640 33176 26911.926 480.333
tspa prim MulP_point_scalar 0 60 24 2000 300 22895 22998 23567 30773 23114.079 383.457
tspa prim InvS_scalar_invert 0 60 24 2000 300 10202 10262 10498 14664 10294.594 167.189
tspa prim FieldOp_mul_add 0 60 24 2000 300 108 112 114 129 112.037 1.285
tspa prim AES256CTR_xor_32 0 60 24 2000 300 100 103 113 115 103.770 2.556
tspa prim PolyEval_degree_t_minus_1 0 60 24 2000 300 2317 2343 2358 3558 2343.718 28.587
upspa proto reg 0 60 36 2000 300 853294 911643 947414 1477584 916967.022 37108.416
upspa proto auth 0 60 36 2000 300 859980 916325 925961 1337237 914277.044 14677.353
upspa proto secupd 0 60 36 2000 300 907654 968482 979899 1655009 965672.686 27133.615
upspa proto pwdupd 0 60 36 2000 300 2148041 2250755 2350125 3916742 2274022.038 137428.300
upspa formula auth 0 60 36 2000 300 857271 912281 926448 1115634 910185.870 11661.661
upspa prim TOPRF_client_eval 0 60 36 2000 300 842322 899640 914153 1091643 897841.846 12346.525
upspa prim AEAD_DEC_cipherid 0 60 36 2000 300 1412 1461 1495 2885 1460.362 55.638
upspa prim AEAD_DEC_ciphersp 0 60 36 2000 300 1315 1366 1400 2699 1366.009 44.726
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 36 2000 300 1305 1323 1338 1375 1323.268 7.645
upspa prim HASH_suid 0 60 36 2000 300 82 84 97 123 85.103 3.759
upspa prim HASH_vinfo 0 60 36 2000 300 75 78 80 1115 78.889 23.474
tspa proto reg 0 60 36 2000 300 1736338 1847012 1906057 2210346 1850893.587 31878.073
tspa proto auth 0 60 36 2000 300 1002931 1065488 1084037 1171452 1064318.441 14721.979
tspa prim HASH_storuid 0 60 36 2000 300 81 83 85 109 83.990 3.095
tspa prim HASH_vinfo 0 60 36 2000 300 77 80 83 1245 81.566 26.247
tspa prim OPRF_finalize 0 60 36 2000 300 3666 3725 4062 10763 3796.831 251.662
tspa prim OPRF_eval_full 0 60 36 2000 300 26271 26943 27058 34141 26769.487 447.123
tspa prim MulP_point_scalar 0 60 36 2000 300 22420 22998 23497 30647 23050.613 420.402
tspa prim InvS_scalar_invert 0 60 36 2000 300 10201 10260 10511 12287 10298.259 145.901
tspa prim FieldOp_mul_add 0 60 36 2000 300 108 113 115 131 112.573 1.472
tspa prim AES256CTR_xor_32 0 60 36 2000 300 101 103 104 115 103.073 1.511
tspa prim PolyEval_degree_t_minus_1 0 60 36 2000 300 3482 3520 3540 4709 3520.887 36.518
upspa proto reg 0 60 48 2000 300 1111855 1187057 1224467 1619879 1188649.143 24661.048
upspa proto auth 0 60 48 2000 300 1117056 1193144 1203672 1419122 1190673.502 13692.439
upspa proto secupd 0 60 48 2000 300 1184133 1263765 1299659 2178867 1266117.091 56933.618
upspa proto pwdupd 0 60 48 2000 300 2527776 2659250 2745230 4467566 2672866.794 81054.998
